id,ms,x,y,z
0,1948,NaN,,
1,1963,NaN,,
2,1975,NaN,,
3,1991,0.34,0.21,12.13
4,2012,0.23,0.19,10.88
5,2028,0.38,0.19,9.75
6,2045,0.15,0.19,9.56
7,2061,0.1,0.17,9.67
8,2078,0.08,0.25,9.56
9,2094,0.25,0.29,9.22
10,2110,0.15,0.13,9.87
11,2127,0.15,0.19,9.25
12,2143,0.13,0.21,9.45
13,2160,0.13,0.13,9.71
14,2176,0.11,0.1,9.89
15,2193,0.08,0.06,9.62
16,2209,0.25,0.15,9.22
17,2225,0.23,0.15,9.25
18,2242,0.15,0.19,9.66
19,2262,-0.04,0.29,9.69
20,2279,0.17,0.17,9.79
21,2295,0.19,0.27,9.58
22,2312,0.11,0.23,9.29
23,2327,0.27,0.13,9.85
24,2344,0.06,0.15,10.02
25,2360,0.21,0.27,9.35
26,2376,0.1,0.31,9.2
27,2397,0.11,0.21,9.58
28,2413,0.17,0.19,9.18
29,2430,0.21,0.25,9.41
30,2446,0.15,0.23,9.58
31,2463,0.25,0.17,9.58
32,2479,0.27,0.1,9.31
33,2495,0.11,0.21,9.64
34,2512,0.15,0.17,9.67
35,2528,0.25,0.25,9.29
36,2545,-0.08,0.17,9.73
37,2561,0.17,0.15,9.48
38,2578,0.13,0.17,9.77
39,2598,0.1,0.17,9.73
40,2615,0.31,0.21,9.46
41,2631,0.1,0.15,9.69
42,2647,0.1,0.23,9.52
43,2664,-0.02,0.15,9.75
44,2680,0.15,0.25,9.43
45,2696,0.13,0.19,9.62
46,2712,0.11,0.17,9.75
47,2729,0.23,0.17,9.52
48,2745,0.21,0.17,9.66
49,2761,0.11,0.08,9.77
50,2778,0.13,0.17,9.85
51,2798,0.33,0.11,9.29
52,2815,0.25,0.27,9.66
53,2831,0.13,0.17,9.58
54,2848,0.15,0.17,9.98
55,2864,0.11,0.19,9.5
56,2880,0.17,0.23,9.85
57,2897,0.19,0.13,9.56
58,2913,-0.06,0.13,9.96
59,2930,0.11,0.13,9.64
60,2946,0.13,0.15,9.71
61,2963,0.13,0.19,9.56
62,2979,0.29,0.06,9.94
63,2999,0.02,0.15,9.69
64,3016,0.13,0.21,9.56
65,3032,0.23,0.15,9.96
66,3049,0.17,0.25,9.58
67,3071,0.1,0.21,9.25
68,3081,0.15,0.23,9.83
69,3097,0.31,0.19,9.89
70,3114,0.27,0.17,9.35
71,3130,0.15,0.21,9.56
72,3146,0.02,0.27,9.66
73,3163,0.08,0.23,9.33
74,3179,0.15,0.15,9.58
75,3196,0.31,0.17,9.48
76,3212,0.21,0.11,9.81
77,3229,0.13,0.15,9.54
78,3245,0.04,0.21,9.46
79,3265,0.19,0.27,9.33
80,3282,0.06,0.21,9.64
81,3298,0.15,0.17,9.48
82,3315,0.17,0.1,9.62
83,3331,0.17,0.23,9.62
84,3348,0.11,0.19,9.6
85,3364,-0.02,0.25,10.04
86,3385,0.08,0.11,10.0
87,3401,0.23,0.17,9.56
88,3417,0.13,0.17,9.83
89,3434,0.25,0.13,9.58
90,3449,0.08,0.27,9.73
91,3466,0.15,0.15,9.64
92,3482,0.13,0.08,9.62
93,3499,0.34,0.11,10.02
94,3519,0.04,0.13,9.67
95,3535,0.02,0.17,9.71
96,3552,0.21,0.19,9.27
97,3568,0.19,0.19,9.2
98,3585,0.13,0.15,9.54
99,3601,0.15,0.19,9.41
100,3618,0.25,0.13,9.5
101,3634,0.15,0.17,9.87
102,3651,-0.08,0.33,9.73
103,3667,0.06,0.21,9.31
104,3683,0.15,0.15,9.25
105,3704,0.13,0.13,10.02
106,3720,0.13,0.21,9.77
107,3737,0.1,0.1,9.29
108,3753,0.25,0.17,9.25
109,3770,0.13,0.19,9.52
110,3786,0.08,0.23,9.56
111,3803,0.13,0.23,9.6
112,3818,0.15,0.19,9.58
113,3834,-0.02,0.17,9.75
114,3855,0.17,0.19,9.67
115,3871,0.02,0.13,9.85
116,3888,0.1,0.21,9.52
117,3904,0.17,0.19,9.52
118,3921,0.11,0.19,9.79
119,3937,0.08,0.19,9.75
120,3953,0.15,0.21,9.54
121,3970,0.04,0.29,9.83
122,3986,0.17,0.25,9.43
123,4003,0.11,0.17,9.67
124,4019,0.15,0.1,9.64
125,4036,0.36,0.23,9.23
126,4052,0.1,0.15,9.9
127,4068,0.17,0.17,9.37
128,4085,0.29,0.1,9.75
129,4101,0.15,0.13,9.45
130,4122,0.13,0.19,9.64
131,4138,-0.1,0.27,9.71
132,4155,0.17,0.13,9.71
133,4171,0.06,0.15,9.58
134,4187,-0.15,0.23,9.2
135,4203,0.17,0.21,9.41
136,4219,0.11,0.19,9.58
137,4240,-0.08,0.25,10.02
138,4256,0.17,0.23,9.41
139,4273,0.15,0.17,9.56
140,4289,0.31,0.13,9.0
141,4306,0.02,0.15,9.89
142,4322,0.1,0.19,9.6
143,4338,0.33,0.19,9.33
144,4355,0.0,0.27,9.58
145,4371,0.13,0.19,9.39
146,4392,0.15,0.25,9.54
147,4408,0.13,0.15,9.69
148,4425,0.15,0.19,9.45
149,4441,0.17,0.21,9.56
150,4458,0.31,0.17,9.08
151,4474,0.15,0.21,9.67
152,4490,0.11,0.19,9.56
153,4507,0.0,0.23,9.73
154,4523,0.23,0.21,9.67
155,4540,0.11,0.19,9.9
156,4556,0.19,0.13,9.87
157,4572,0.13,0.13,9.43
158,4588,0.11,0.21,9.73
159,4604,0.13,0.21,9.5
160,4625,-0.02,0.15,9.98
161,4641,0.36,0.21,8.95
162,4658,0.13,0.29,9.22
163,4674,0.11,0.21,9.87
164,4691,0.25,0.13,9.46
