id,ms,x,y,z
0,1954,NaN,,
1,1969,NaN,,
2,1981,NaN,,
3,2002,0.69,-0.08,11.59
4,2018,0.44,-0.1,10.61
5,2039,0.27,-0.08,10.21
6,2055,0.34,-0.04,9.56
7,2072,0.25,0.04,9.31
8,2088,0.21,0.06,9.58
9,2105,0.17,0.04,9.69
10,2121,0.38,-0.11,9.58
11,2141,0.11,-0.02,10.1
12,2158,0.19,0.02,9.85
13,2174,0.19,0.1,9.73
14,2191,0.17,0.38,9.62
15,2207,0.13,0.31,9.46
16,2223,0.08,0.17,9.54
17,2243,0.27,-0.06,9.9
18,2260,0.29,-0.15,9.45
19,2276,0.38,-0.15,9.69
20,2297,0.31,-0.17,9.46
21,2313,0.15,-0.02,9.66
22,2329,0.13,0.21,9.69
23,2346,0.08,0.17,9.77
24,2362,0.0,0.23,9.92
25,2379,0.29,0.29,9.29
26,2395,0.38,0.17,9.5
27,2412,0.21,0.02,9.39
28,2432,0.33,-0.54,9.77
29,2448,0.36,-0.59,9.45
30,2469,-0.06,-0.15,9.56
31,2485,0.17,-0.27,9.54
32,2502,-0.13,0.1,9.5
33,2518,-0.13,0.17,9.75
34,2539,0.11,0.44,9.48
35,2555,0.29,0.5,9.52
36,2572,0.11,0.63,9.58
37,2588,0.02,0.69,9.58
38,2603,0.34,0.88,9.43
39,2620,0.25,0.73,9.56
40,2636,0.04,0.86,9.58
41,2653,0.04,0.98,9.73
42,2669,0.04,0.84,9.9
43,2686,0.11,0.63,9.48
44,2702,0.29,0.27,9.71
45,2719,0.31,0.23,9.69
46,2735,0.29,0.27,9.25
47,2755,-0.13,0.65,9.66
48,2772,-0.13,0.44,9.56
49,2788,0.06,0.08,9.6
50,2805,0.61,0.25,9.96
51,2821,1.0,0.82,10.17
52,2842,0.19,-0.11,13.43
53,2858,-0.56,0.82,14.56
54,2879,-0.19,1.25,14.31
55,2895,0.19,1.61,12.99
56,2923,0.79,1.44,12.09
57,2932,0.65,0.5,12.07
58,2953,0.42,-0.23,12.09
59,2968,0.19,0.19,11.28
60,2984,0.38,0.27,11.38
61,3005,0.36,-0.54,11.3
62,3021,0.65,-2.2,10.33
63,3042,0.46,-3.31,9.23
64,3059,0.04,-2.09,9.48
65,3079,-0.11,-0.96,8.74
66,3095,-0.25,-0.21,8.54
67,3112,-0.34,0.31,8.08
68,3132,-0.57,0.67,8.72
69,3149,-0.23,1.11,9.02
70,3165,0.02,1.92,12.07
71,3182,0.38,1.07,4.64
72,3202,-0.38,0.44,5.44
73,3218,-0.56,1.13,7.82
74,3235,-0.52,1.21,8.62
75,3255,-0.27,1.34,8.28
76,3272,-0.08,1.38,7.36
77,3288,0.08,1.82,6.48
78,3305,0.08,1.88,6.76
79,3321,0.02,2.26,6.57
80,3341,-0.29,2.78,6.67
81,3357,-0.1,2.68,6.49
82,3374,-0.1,1.74,6.03
83,3390,-0.06,1.28,6.86
84,3411,-0.13,1.48,5.94
85,3427,-0.21,1.97,5.77
86,3443,-0.25,2.01,6.07
87,3464,-0.65,2.03,6.32
88,3480,-0.98,1.92,6.44
89,3497,-0.63,1.34,7.51
90,3517,-0.42,0.79,8.05
91,3534,-0.48,0.92,8.51
92,3550,-0.17,1.25,8.53
93,3571,-0.19,1.82,9.22
94,3587,0.02,1.99,8.97
95,3603,0.02,1.53,8.7
96,3620,-0.19,1.67,9.02
97,3636,-0.04,1.65,9.16
98,3657,-0.38,0.92,9.12
99,3673,-0.11,0.86,9.22
100,3690,-0.29,1.57,9.5
101,3710,-0.33,1.88,10.1
102,3726,-0.59,2.26,10.02
103,3746,-0.65,2.57,10.21
104,3763,-0.82,2.26,9.9
105,3783,-0.5,1.25,9.62
106,3800,-0.84,0.79,10.35
107,3820,-0.48,1.03,10.35
108,3837,-0.33,1.23,9.77
109,3857,-0.38,1.46,10.29
110,3874,-0.61,1.78,9.94
111,3890,-0.59,1.59,9.83
112,3910,-0.31,1.63,9.16
113,3927,-0.33,1.23,9.16
114,3947,-0.23,1.19,10.0
115,3964,-0.34,1.8,9.58
116,3980,-0.36,1.76,9.89
117,4001,-0.29,1.36,10.29
118,4017,-0.19,1.15,9.96
119,4034,0.1,0.79,10.71
120,4054,-0.06,0.84,11.27
121,4075,-0.36,1.38,11.8
122,4090,-0.67,1.03,12.4
123,4111,-0.19,1.17,11.51
124,4127,-0.46,1.53,11.72
125,4148,0.1,1.11,12.03
126,4164,0.15,1.11,11.8
127,4181,-0.34,1.3,11.82
128,4201,-0.31,1.25,11.72
129,4222,-0.33,1.21,11.72
130,4238,-0.06,1.51,11.51
131,4255,0.0,1.36,11.04
132,4275,-0.23,1.17,11.32
133,4291,0.06,1.07,10.46
134,4312,0.21,1.38,10.86
135,4328,0.46,1.38,10.25
136,4345,0.33,1.48,10.4
137,4365,0.63,1.65,10.38
138,4382,0.57,1.88,10.35
139,4398,0.52,1.25,10.94
140,4419,0.13,0.82,10.12
141,4435,0.34,0.63,9.75
142,4452,0.82,0.19,9.62
143,4467,0.86,0.4,9.41
144,4483,0.56,0.31,9.48
145,4500,0.42,0.31,9.77
146,4516,0.33,0.5,9.43
147,4533,0.4,0.56,8.79
148,4549,0.54,1.02,9.14
149,4566,0.84,1.65,8.93
150,4582,0.77,1.74,8.87
151,4598,0.59,1.15,8.77
152,4615,0.44,1.21,8.45
153,4635,-0.06,1.59,8.39
154,4652,-0.19,1.51,8.24
155,4668,0.38,1.09,7.59
156,4685,0.52,0.98,7.45
157,4701,0.52,1.13,7.24
158,4718,0.79,1.21,7.11
159,4734,0.4,1.49,6.63
160,4750,0.36,1.53,6.82
161,4767,0.31,1.76,6.92
162,4783,0.4,1.82,6.67
163,4800,0.44,1.51,6.4
164,4820,0.71,1.63,6.32
165,4837,0.71,1.97,6.67
166,4852,0.67,1.8,6.51
167,4868,0.31,1.28,7.05
168,4885,-0.06,1.49,7.74
169,4901,-0.04,1.72,7.43
170,4918,0.0,1.28,7.2
171,4938,-0.02,0.9,7.68
172,4955,-0.02,1.02,8.16
173,4971,-0.06,0.27,7.85
174,4988,0.11,0.59,8.03
175,5008,0.02,2.03,11.86
176,5025,0.38,1.59,10.1
177,5041,0.34,1.07,9.29
178,5057,0.27,1.0,9.18
179,5078,0.75,0.69,12.26
180,5094,-0.27,2.11,10.52
181,5111,-0.33,2.11,9.92
182,5131,-0.13,3.28,10.4
183,5148,-0.02,1.38,9.64
184,5164,0.31,0.54,9.45
185,5181,0.61,1.88,9.08
186,5201,0.34,1.84,10.31
187,5217,0.21,1.67,10.69
188,5237,-0.13,1.44,10.48
189,5253,-0.17,1.26,10.61
190,5274,0.08,1.26,10.13
191,5290,0.11,1.49,9.14
192,5307,-0.27,1.36,9.16
193,5323,0.02,1.84,9.18
194,5340,-0.23,2.18,9.56
195,5360,-0.06,2.03,9.06
196,5377,0.69,1.3,8.16
197,5393,0.46,0.79,9.16
198,5410,0.08,0.69,9.75
199,5426,-0.52,0.21,10.21
200,5447,-0.67,0.19,9.75
201,5463,-0.38,0.15,9.9
202,5479,0.08,0.0,10.12
203,5500,0.48,-1.36,14.23
204,5520,-0.69,-0.79,13.32
205,5541,-0.08,-0.65,11.74
206,5557,-0.63,0.04,13.35
207,5578,-0.36,-0.13,13.1
208,5597,-0.65,-0.42,13.66
209,5618,-0.63,-0.11,13.85
210,5634,-0.38,0.11,13.26
211,5655,-0.15,-0.33,12.15
212,5676,-0.36,-0.82,12.17
213,5696,-0.57,-0.13,11.17
214,5713,-0.15,-0.48,11.02
215,5733,-0.15,-1.05,10.94
216,5754,-0.13,-0.71,11.17
217,5774,-0.4,-0.73,10.71
218,5795,-0.17,-0.82,10.1
219,5815,-0.29,-0.21,10.0
220,5832,-0.15,0.23,9.71
221,5848,-0.06,0.36,9.39
222,5868,-0.21,0.54,10.13
223,5885,-0.11,0.61,9.56
224,5905,-0.15,0.42,10.31
225,5922,-0.23,0.11,9.5
226,5938,-0.06,0.11,9.96
227,5958,-0.11,0.08,9.35
228,5974,0.19,-0.1,9.41
229,5991,0.13,-0.06,9.54
230,6007,0.13,0.04,9.35
231,6028,0.15,-0.13,9.25
232,6044,0.27,-0.1,9.27
233,6061,0.44,-0.23,9.22
234,6077,0.38,0.06,8.68
235,6093,0.31,0.08,8.93
236,6110,0.23,0.46,8.79
237,6126,0.4,0.77,8.03
238,6147,0.46,1.07,7.89
239,6163,0.56,0.82,8.07
240,6180,0.52,0.9,7.8
241,6196,0.27,0.96,8.14
242,6212,0.33,0.63,7.7
243,6229,0.13,0.79,7.01
244,6245,0.11,1.03,6.88
245,6262,0.02,0.84,7.26
246,6278,0.34,0.79,6.72
247,6295,0.44,0.75,6.82
248,6311,0.36,0.92,7.03
249,6328,0.17,1.38,6.71
250,6343,0.27,1.32,6.69
251,6359,0.17,1.23,6.69
252,6376,0.02,1.03,6.97
253,6392,0.13,0.98,7.18
254,6413,0.02,1.21,7.36
255,6429,0.0,0.69,7.72
256,6446,0.04,0.38,7.51
257,6462,-0.1,0.04,8.26
258,6479,-0.19,0.33,8.87
259,6499,-0.02,0.4,8.76
260,6515,0.21,0.4,9.25
261,6532,-0.13,0.29,8.76
262,6548,-0.02,0.19,8.64
263,6569,-0.29,0.04,9.1
264,6585,-0.31,0.19,8.3
265,6602,-0.33,0.23,9.41
266,6622,0.65,0.25,10.65
267,6639,0.48,1.51,13.3
268,6655,0.02,0.71,12.22
269,6671,0.52,1.21,7.89
270,6692,-0.69,1.92,8.72
271,6707,-0.19,-0.19,9.18
272,6724,-0.31,0.75,9.89
273,6744,-0.27,0.65,9.77
274,6761,-0.13,0.65,10.15
275,6781,-0.21,-0.06,10.0
276,6798,0.0,0.92,10.38
277,6818,0.1,1.65,9.83
278,6835,-0.04,1.49,9.69
279,6851,-0.02,0.84,9.46
280,6868,-0.33,0.42,9.6
281,6888,-0.54,0.67,10.15
282,6905,-0.33,0.38,9.85
283,6925,-0.02,-0.29,9.94
284,6946,-0.1,-0.25,10.12
285,6966,-0.31,-0.21,10.5
286,6983,-0.25,-0.46,10.75
287,7003,0.1,-1.05,9.56
288,7020,0.17,-1.0,12.18
289,7040,-0.4,-0.13,13.01
290,7061,-0.34,-0.1,13.35
291,7080,-0.21,-0.38,13.93
292,7101,-0.29,-0.17,13.39
293,7117,-0.48,-0.23,13.22
294,7138,-0.38,-0.19,13.03
295,7158,-0.31,0.04,12.57
296,7175,-0.59,0.34,11.74
297,7195,-0.13,0.06,11.05
298,7216,-0.1,-0.61,10.61
299,7236,-0.13,-0.79,10.56
300,7253,-0.17,-0.9,10.38
301,7273,0.0,-0.54,10.0
302,7294,0.02,-0.02,10.33
303,7310,-0.08,0.25,9.73
304,7327,0.29,-0.19,10.12
305,7347,0.11,-0.25,10.38
306,7368,0.34,-0.42,10.42
307,7384,0.04,-0.21,9.43
308,7400,0.44,-0.23,9.0
309,7417,0.13,0.0,9.6
310,7437,0.21,-0.1,9.58
311,7453,0.11,-0.31,9.69
312,7469,0.15,-0.44,9.71
313,7490,0.4,-0.77,9.31
314,7506,0.38,-0.42,9.14
315,7523,0.0,-0.36,8.97
316,7539,0.06,-0.67,9.2
317,7560,0.27,-0.75,9.33
318,7576,0.1,-0.8,9.2
319,7592,0.19,-0.5,8.3
320,7613,0.1,-0.34,9.06
321,7629,0.13,-0.69,8.81
322,7646,0.17,-0.4,8.53
323,7666,0.21,-0.17,8.26
324,7683,0.21,-0.1,7.84
325,7699,0.13,0.06,7.74
326,7716,-0.13,0.27,7.97
327,7736,-0.27,0.31,8.16
328,7753,0.0,0.54,7.09
329,7769,0.13,0.54,7.11
330,7785,0.25,0.57,6.61
331,7802,0.15,0.69,6.97
332,7818,0.46,0.57,6.92
333,7834,-0.23,0.75,6.99
